name,homepage,borough,michelin_category,notes,resolver_status,candidate_title,candidate_snippet,search_query
The Dining Room at The Guesthouse,https://the-dining-room-at-rh-guesthouse-new-york.wheree.com/,,,,resolved,The Dining Room at RH Guesthouse New York - Reviews ...,The Dining Room at RH Guesthouse New York presents an exquisite dining experience that seamlessly blends elegance with culinary excellence. Located in the ...,The Dining Room at The Guesthouse NYC restaurant official site
Little Myanmar,https://littlemyanmar.org/,,,,resolved,Little Myanmar | Home,A family-run restaurant serving authentic Burmese food with a full Halal menu and incredible vegan options.,Little Myanmar NYC restaurant official site
Le Rock,https://www.lerocknyc.com/,,,,resolved,"Home | Le Rock in New York, NY","An elevated brasserie from the award-winning chefs behind Frenchette and Le Veau d'Or, located in Rockefeller Center.",Le Rock NYC restaurant official site
Jōji,https://jojiny.com/,,,,resolved,Home - Jōji NY,Jojiny. SUSHI OMAKASE. JojiNyBox. SUSHI TAKEOUT AND DELIVERY. One Vanderbilt Avenue · info@jojiny.com · Jōji Box · Sign Up for Events and News Here joji.nyc.,Jōji NYC restaurant official site
Le Bernardin,https://www.le-bernardin.com/,,,,resolved,Le Bernardin by Eric Ripert | Home,"Le Bernardin earned four stars from The New York Times three months after its opening, never having dropped a star throughout six reviews, and is the only ...",Le Bernardin NYC restaurant official site
Kung Fu Little Steamed Buns Ramen,https://kungfutogo.com/,,,,resolved,Home | Kung Fu Little Steamed Buns Ramen (146 E 55th St),"© Copyright 2024 Kung Fu Little Steamed Buns Ramen (146 E 55th St). All Rights Reserved. 146 E 55th St, New York, NY 10022. Call us today: 212-804-8556 · Terms ...",Kung Fu Little Steamed Buns Ramen NYC restaurant official site
Tonchin,https://www.tonchinus.com/,,,,resolved,"Tonchin - New York, Brooklyn and LA",Japanese restaurant originated in Tokyo in 1992. Homemade noodles and Tonkotsu broth ... Tonchin New York. Tebasaki. Michelin star ramen. Best Tan Tan men.,Tonchin NYC restaurant official site
Tamarind,https://www.tamarindtribeca.com/,,,,resolved,Tamarind Tribeca – The Finest Indian Restaurant in NYC,"The Tamarind Tribeca, now at its new home is the definitive restaurant where one can experience Indian Cuisine in its purest form with a contemporary touch.",Tamarind NYC restaurant official site
Marea,https://www.marearestaurant.com/,,,,resolved,Marea | Coastal Italian Cuisine | NYC | Aspen | Beverly Hills,"Experience high-end coastal Italian cuisine at Marea in New York City, Beverly Hills, and Aspen. A sophisticated dining destination where elegance meets the ...",Marea NYC restaurant official site
The Musket Room,https://www.musketroom.com/,,,,resolved,"The Musket Room | New American Restaurant in New York, NY","The Musket Room in New York, NY, is a celebrated neighborhood restaurant offering a reliably indulgent experience, whether a special occasion or enjoying ...",The Musket Room NYC restaurant official site
Russ & Daughters Café,https://www.russanddaughters.com/,,,,resolved,Russ & Daughters - NYC,"Russ & Daughters is a New York culinary and cultural icon, known for the highest quality appetizing foods: smoked fish, caviar, bagels, bialys, babka, ...",Russ & Daughters Café NYC restaurant official site
Una Pizza Napoletana,https://unapizza.com/,,,,resolved,UNA PIZZA NAPOLETANA,Anthony Mangieri's legendary NYC pizzeria. Anthony Mangieri is a pioneer of Neapolitan-style pizza in the United States.,Una Pizza Napoletana NYC restaurant official site
abcV,https://www.abcv.nyc/,,,,resolved,"ABCV | American Restaurant in New York, NY","Plant-forward spot by Jean-Georges Vongerichten for seasonal plates, tonics & cocktails.",abcV NYC restaurant official site
Cosme,https://cosme.weeblyte.com/,,,,resolved,Cosme - Mexican restaurant in City Of New York - Website,"Address: 35 E 21st St, New York, NY 10010, United States Phone: +1 315 512 4131. Social Media. Suggest an Edit. This is not the official website. Content is ...",Cosme NYC restaurant official site
Dim Sum Go Go,https://www.dimsumgogonyc.com/,,,,resolved,"Dim Sum Go Go | Dim Sum Restaurant| Chinatown, NYC | 5 ...","Dim Sum Go Go NYC is a Michelin-rated gem nestled in the heart of Chinatown, renowned as the Best Dim Sum in New York City for over 24 years.",Dim Sum Go Go NYC restaurant official site
L'Abeille à Côté,https://www.labeilleacote.nyc/,,,,resolved,l'abeille à côté,l&#39;abeille à côté · Upcoming Events · About · Menus · Reservations · Info & Directions · Private Events · Press. Open Menu Close Menu. Open Menu Close Menu.,L'Abeille à Côté NYC restaurant official site
YingTao,https://www.yingtaonyc.com/,,,,resolved,yingtao,"+1 (845) 236-6577 info@yingtaonyc.com. Our team answers phone calls. Tuesday–Sunday, from 2:00–5:00 PM. For urgent matters or updates to your reservation,",YingTao NYC restaurant official site
El Fish Marisqueria,http://elfish67.com/,,,,resolved,El Fish Marisqueria,Fresh seafood spot featuring creative meals with a Mexican flair plus a lively bar for margaritas.,El Fish Marisqueria NYC restaurant official site
Pranakhon,https://pranakhonnyc.com/,,,,resolved,Pranakhon Thai Restaurant NYC,"Welcome to Pranakhon Thai Restaurant NYC, we invite you to come to come and explore the vibrant and diverse street food culture of Thailand.",Pranakhon NYC restaurant official site
Shmoné,https://www.shmonenyc.com/,,,,resolved,Shmoné: Home,"Shmoné is a One Michelin Star restaurant in Greenwich Village with intimate, ever-evolving culinary experience powered by the dynamism of Chef Eyal Shani.",Shmoné NYC restaurant official site
La Devozione: The Oval,https://www.ladevozionenyc.com/menu/the-oval,,,,resolved,"The Oval | La Devozione | Italian Restaurant in New York, NY","The Oval. A 30-seat, open kitchen serving a fine-dining pasta tasting menu. Helmed by Michelin-starred chef Peppe Guida, The Oval provides ...",La Devozione: The Oval NYC restaurant official site
Peak,https://www.peaknyc.com/,,,,resolved,Best Restaurants In NYC | Peak with Priceless NYC | Hudson ...,"Peak with Priceless is a stunning restaurant, bar, and event space located on the 101st floor of 30 Hudson Yards. Managed by Tao Group Hospitality, ...",Peak NYC restaurant official site
Gramercy Tavern,https://www.gramercytavern.com/,,,,resolved,Gramercy Tavern | New York,Danny Meyer's Flatiron District tavern offers tasting menus for lunch and dinner in the dining room. The bustling bar serves seasonal American cuisine and ...,Gramercy Tavern NYC restaurant official site
Minetta Tavern,https://www.minettatavernny.com/,,,,resolved,Minetta Tavern,"Menu. Minetta Tavern · Instagram · 113 MacDougal St, NYC · (212) 475-3850. Stay in Touch. Close. Reservations · Hours & Location · Menus · Private Events · Gift ...",Minetta Tavern NYC restaurant official site
Atla,https://www.eatatla.com/,,,,resolved,ATLA | Mexican Restaurant in NY & CA,"Everyday Mexican by CASAMATA offering simple and traditional yet inventive dishes as we understand it: no short-cuts, authentic, yet with a global ...",Atla NYC restaurant official site
Secchu Yokota,http://www.secchuyokota.com/,,,,resolved,Secchu Yokota,"Reservations are taken up to 14 days out - click here to access the “Location, Hours, Contact…..” page for details!",Secchu Yokota NYC restaurant official site
Seoul Salon,https://seoulsalon.nyc/,,,,resolved,SEOUL SALON,"FOR GENERAL INQUIRIES & PRESS AND MEDIA CONTACT. ︎︎︎INFO@SEOULSALON.NYC · ︎︎︎646-628-4628 · 28 W 33rd St. New York, NY 10001. Please note: This website includes an ...",Seoul Salon NYC restaurant official site
53,http://53-nyc.com/,,,,resolved,53 NYC | Contemporary Asian Restaurant in Midtown Manhattan,"Discover 53 NYC, a contemporary Asian restaurant in Midtown Manhattan beneath MoMA. Savor bold flavors in an art-infused setting—lunch, dinner & private ...",53 NYC restaurant official site
Oiji Mi,https://www.oijimi.com/,,,,resolved,Oiji MI,OIJI MI offers a creative contemporary Korean dining experience composed uniquely for NYC. Helmed by Owner and Executive Chef Brian Kim.,Oiji Mi NYC restaurant official site
8282,https://8282.weeblyte.com/,,,,resolved,8282 - Korean restaurant in New York State - Website,"Welcome to 8282, a celebrated establishment recognized in the Michelin Guide for its exceptional culinary offerings and vibrant atmosphere.",8282 NYC restaurant official site
Covacha,https://covacha.res-pick.com/,,,,resolved,"Covacha - Menu Highlights, Pricing & Where to Find It","Discover Covacha at 368 Columbus Ave, NYC—a cozy spot serving vibrant Latin flavors and craft cocktails. Perfect for lively nights and delicious bites! The ...",Covacha NYC restaurant official site
Joo Ok,https://joomaknyc.com/,,,,resolved,"Joomak - West Village, New York, NY","Experience the exclusive elegance of hosting your event at Joomak. Nestled within Maison Hudson, our Michelin-starred gem shines in the heart of West Village.",Joo Ok NYC restaurant official site
Odre,https://odrenyc.com/,,,,resolved,ODRE,cargo.site.,Odre NYC restaurant official site
Sempre Oggi,https://www.semprenyc.com/,,,,resolved,"Sempre Oggi | Italian Restaurant in New York, NY",Our brunch is quintessentially UWS with an Italian twist. Join us every Saturday and Sunday from 11am–3pm for a menu that blends tradition with seasonality.,Sempre Oggi NYC restaurant official site
Bungalow,https://www.bungalowny.com/,,,,resolved,Experience the Best Indian Cuisine at Bungalow NYC,"Originating from India, Rizvi is the mind driving Bungalow, the latest concept from the team behind GupShup, New York City's iconic modern Indian restaurant, ...",Bungalow NYC restaurant official site
Hyderabadi Zaiqa,https://hyderabadizaiqa.com/,,,,resolved,Hyderabadi Zaiqa,"Nestled in the heart of Manhattan, New York, Hyderabadi Zaiqa, offers an exquisite ambiance that seamlessly combines elegance and charm. Step inside and be ...",Hyderabadi Zaiqa NYC restaurant official site
Red Paper Clip,https://www.redpaperclip.nyc/,,,,resolved,RED PAPER CLIP,Red Paper Clip is an intimate neighborhood restaurant tucked away on Christopher Street in the West Village. We serve modern seasonal cuisine.,Red Paper Clip NYC restaurant official site
Sami & Susu,https://www.samiandsusu.com/,,,,resolved,Sami & Susu - Restaurant & Wine Bar,"Sami & Susu is a Michelin-Bib Gourmand restaurant and wine bar, taking influences from the Mediterranean, New York City, and family recipes.",Sami & Susu NYC restaurant official site
Papa San,https://www.papasannyc.com/,,,,resolved,"Papa San | Peruvian Restaurant in New York, NY","We are a neighborhood restaurant located in New York, NY. Our food, conceived and created by Erik Ramirez, is quintessentially New York, with a modern take ...",Papa San NYC restaurant official site
Kabawa,https://www.momofuku.com/restaurants/barkabawa/menu,,,,review_needed,Bar Kabawa - Menu,"Bar Kabawa Menu · Daiquiris. -. Kabawa. key lime, organic cane sugar, Choice of Probitas, Montebello Rhum Blanc, 1978 Bacardi Carta Blanca · Rum Rum Yum Yums. - ...",Kabawa NYC restaurant official site
Chez Fifi,https://www.chezfifinyc.com/,,,,resolved,Chez Fifi New York,"A We All Gotta Eat Project. Chez Fifi is committed to making its websites accessible to all people, including individuals with disabilities.",Chez Fifi NYC restaurant official site
Sushi Ikumi,https://www.ikumi.nyc/,,,,resolved,Sushi Ikumi: Home,"Nestled within the vibrant and bustling cityscape of NYC, Sushi Ikumi can be found in the quiet neighborhood of SoHo, Manhattan.",Sushi Ikumi NYC official website
Rosella,https://www.rosellanyc.com/,,,,resolved,Rosella NYC,We are now open 7 days a week from 5pm-10pm. Book your reservation today! Featured as one of Michelin's new Plate restaurants of 2021!,Rosella NYC restaurant official site
Daniel,https://www.danielnyc.com/,,,,resolved,Restaurant Daniel,"Chef Daniel Boulud's Flagship: A Modern French Dining Experience in New York. ... New York, NY 10065. TEL (212) 288-0033 · danielinquiry@danielnyc.comGeneral ...",Daniel NYC restaurant official site
Cervo's,https://www.cervosnyc.com/,,,,resolved,Cervo's,"43 CANAL STREET New York, NY 10002 (212) 226-2545 · hello@cervosnyc.com. PART OF THE FAMILY HART'S, CERVO'S, THE FLY, EEL BAR, MINNOW · Accessibility.",Cervo's NYC restaurant official site
Dons Bogam,https://www.donsbogam.com/,,,,resolved,dons bogam,Serving Korean BBQ & traditional Korean cuisine in a beautiful space in the heart of New York City · KOREAN FOOD FOR EVERYONE · WHAT PEOPLE SAY.,Dons Bogam NYC restaurant official site
Kanyakumari,http://kanyakumarinyc.com/,,,,resolved,Kanyakumari - Taste that turns every bite into a celebration,"In a sea of 'coastal Italian,' Kanyakumari specializes in coastal Indian. The new restaurant opens near Union Square this week.",Kanyakumari NYC restaurant official site
Lungi,https://lungirestaurant.com/,,,,resolved,"Lungi - Upper East Side, New York, NY","South Indian and Sri Lankan restaurant. Welcome to Lungi. Lungi, under the ownership of Mervyn Winston, artfully combines the culinary traditions of South India ...",Lungi NYC restaurant official site
Chalong,https://chalongnyc.com/,,,,resolved,"Chalong Southern Thai - New York, NY",We are taking online reservations! Let's ensure you get a great table: Book today! We recommend making a reservation ahead of time. Book your table today!,Chalong NYC restaurant official site
Le Jardinier New York,https://www.lejardinier-nyc.com/,,,,resolved,Le Jardinier New York,AWARD-WINNING FRENCH RESTAURANT IN THE HEART OF MIDTOWN MANHATTAN · OUR STORY · SEASONAL MENUS · PRIVATE EVENTS.,Le Jardinier New York NYC restaurant official site
Rezd?ra,https://www.rezdora.nyc/,,,,resolved,"Rezdôra | Italian Restaurant in New York, NY","Italian eatery highlighting handmade pasta, traditional meat & fish dishes plus local vegetables.",Rezd?ra NYC restaurant official site
The Lambs Club,https://www.thelambsclub.com/,,,,resolved,"Lambs Club | American Restaurant in New York, NY",The official website of The Lambs is accessible at www.the-lambs.org. Reservations; Email Signup.,The Lambs Club NYC restaurant official site
Melba's,https://www.melbasrestaurant.com/,,,,resolved,Melba's Restaurant,"Southern classics served in a retro setting that's relaxed & homey by day, bustling in the evening.",Melba's NYC restaurant official site
The Grill,https://thegrillnewyork.com/,,,,resolved,THE GRILL | Major Food Group | New York Restaurant,"THE GRILL is a Mid-Century New York Chophouse created by Mario Carbone, Rich Torrisi and Jeff Zalaznick location in The Seagram Building in Midtown ...",The Grill NYC restaurant official site
Ballato,https://emiliosballato.shop/,,,,resolved,Emilio's Ballato: A Taste of Authentic Italian Cuisine in NYC,"Welcome to Emilio's Ballato, a charming eatery nestled in the vibrant heart of New York City at 55 E Houston St. Here, Italian culinary traditions meld ...",Ballato NYC restaurant official site
Loring Place,https://www.loringplacenyc.com/,,,,resolved,Loring Place | American Restaurant in NYC,"New York Restaurant with seasonal, local, American cuisine by Chef Dan Kluger located in the heart of Greenwich Village.",Loring Place NYC restaurant official site
Junoon,https://www.junoonnyc.com/,,,,resolved,"Junoon | Indian Restaurant in New York, NY",Junoon is a modern Indian restaurant from New York based restaurateur Rajesh Bhardwaj.,Junoon NYC restaurant official site
Family Meal at Blue Hill,https://www.bluehillfarm.com/,,,,resolved,Family Meal at Blue Hill,"Locally sourced, seasonal ingredients abound on the American menu served at this townhouse-set spot.",Family Meal at Blue Hill NYC restaurant official site
odo,https://www.odo.nyc/,,,,resolved,Odo NYC,"At Odo, Chef Hiroki Odo offers a unique dining experience by serving traditional Kaiseki—a rule-bound Japanese meal—in a sophisticated, hidden speakeasy setting ...",odo NYC restaurant official site
Carbone,https://carbonenewyork.com/,,,,resolved,Carbone New York,Carbone is one of the most celebrated Italian restaurants in America and a quintessential New York City dining experience. Located on historic Thompson Street.,Carbone NYC restaurant official site
Monofuku Noodle Bar,https://momofukunoodlebar.com/,,,,resolved,Momofuku Noodle Bar,"Subscribe to the Momofuku Newsletter. Stay up to date with the latest new dishes, special offers, restaurant openings and other discounts. Enter your email.",Monofuku Noodle Bar NYC restaurant official site
I Sodi,https://www.isodinyc.com/,,,,resolved,I SODI NYC,I Sodi is the long-celebrated ristorante Toscano established in 2008 by Chef Rita Sodi. I Sodi draws inspiration from the small family farm where Sodi grew up.,I Sodi NYC restaurant official site
Ulivo,https://www.ulivonyc.com/,,,,resolved,ULIVO Restaurant,ULIVO Restaurant · Home · About · Menu. Delivery. UberEats · GrubHub · DoorDash · Gallery ... 4W 28th Street - New York — (212) 684-8000. TRATTORIA · COCKTAIL ...,Ulivo NYC restaurant official site
Penny,https://www.penny-nyc.com/,,,,resolved,Penny | Walk-In Seafood Spot in New York City,Penny is a raw bar and seafood counter in New York City's East Village.,Penny NYC restaurant official site
Moono,https://moono.restaurants-info.com/,,,,resolved,"Moono Reviews - See Full Menus, Reviews & Photos","Leon's Pizza Restaurant ... Discover Moono, a hidden gem in the heart of NYC! Indulge in delicious bites and a cozy atmosphere at 29 E 32nd St. Join us today!",Moono NYC restaurant official site
Café Carmellini,https://www.cafecarmellini.com/,,,,resolved,Café Carmellini | Fine Dining Restaurant in New York City,"Chef Carmellini's menu is a modern, sophisticated marriage of Italian and French cooking with a classic New York sensibility.",Café Carmellini NYC restaurant official site
Peppercorn Station,https://www.peppercornstation.com/,,,,resolved,Peppercorn Station: Restaurant,Peppercorn Station is a restaurant in New York and New Jersey offers authentic contemporary Szechuan cuisine. A go-to neighborhood restaurant that feels ...,Peppercorn Station NYC restaurant official site
Raf's,https://www.rafsnewyork.com/,,,,resolved,"Raf's | French and Italian Bakery in New York, NY","Raf's offers a daily rotation of French and Italian inspired baked goods, as well as an all-day café and intimate dinner service where they can feel at home ...",Raf's NYC restaurant official site
MayRee,https://www.mayreenyc.com/,,,,resolved,East Village Cocktail Bars | MayRee – Authentic Thai in NYC,"Recognized by the Michelin Guide, MayRee Thai Kitchen brings the authentic flavors of Southern Thailand to the heart of Manhattan's East Village.",MayRee NYC restaurant official site
Miss Mamie's Spoonbread Too,https://missmamiesspoonbreadtoo.restaurants-info.com/,,,,resolved,Miss Mamie's Spoonbread Too Reviews - See Full Menus ...,"Located in NYC, indulge in warm, delicious dishes that feel like home. Social Networks. This is not an official website. Content updated by the community. If ...",Miss Mamie's Spoonbread Too NYC restaurant official site
JoJo,https://www.jojorestaurantnyc.com/,,,,resolved,JoJo Restaurant | Jean-Georges Restaurants New York,JoJo offers a relaxed yet elegant dining experience in a quaint turn-of-the-century townhouse setting on the Upper East Side. The first of Jean-Georges' ...,JoJo NYC restaurant official site
Sushi Noz,https://www.sushinoz.com/,,,,resolved,Sushi Noz,"Chef Nozomu Abe's vision to create a superlative dining experience – memorable, intimate, elegant, and a feast for the senses.",Sushi Noz NYC restaurant official site
Ivan Ramen,https://www.ivanramen.com/,,,,resolved,Ivan Ramen - NYC,"With a dedicated following at his two Tokyo locations, Orkin returned to New York City to open his first restaurant on the Lower East Side, with the intent ...",Ivan Ramen NYC restaurant official site
Dirt Candy,https://www.dirtcandynyc.com/,,,,resolved,Dirt Candy,"Dirt Candy · Home · About · Hours & Location · FAQ · Our Chef · Shop · Sign Up For Our ... 86 Allen Street, NY, NY - 212-228-7732. Dinner Menu · Events!",Dirt Candy NYC restaurant official site
Chef's Table at Brooklyn Fare,https://the-chefs-table-at-brooklyn-fare.hey-restaurants.com/,,,,resolved,The Chef's Table At Brooklyn Fare | Fine Dining Restaurant in ...,The Chef's Table At Brooklyn Fare offers a remarkable fine dining experience in New York. ... This is not an official website. The content is updated by the ...,Chef's Table at Brooklyn Fare NYC restaurant official site
Norma Gastronomia Siciliana,https://normarestaurant.com/,,,,resolved,Norma Gastronomia Siciliana | Authentic Sicilian Restaurant ...,"At Norma Gastronomia Siciliana you'll find authentic Sicilian dishes, exclusively Sicilian wine and an atmosphere transporting you to the soul of Sicily.",Norma Gastronomia Siciliana NYC restaurant official site
Jungsik New York,https://www.jungsik.com/,,,,resolved,Korean Restaurant - Jungsik New York,Jungsik offers a modern and unique understanding of contemporary Korean cuisine – innovative chef Yim has christened it as New Korean.,Jungsik New York NYC restaurant official site
King,https://kingrestaurant.nyc/,,,,resolved,King Restaurant,King Restaurant New York City. King is a NYC restaurant serving a daily-changing menu on King Street.,King NYC restaurant official site
Pre Se,https://thomaskeller.com/new-york-new-york/per-se/todays-menus,,,,review_needed,Today's Menus,"Daily Menus. Two tasting menus are offered daily: a nine-course chef's tasting menu, as well as a nine-course vegetable tasting menu.",Pre Se NYC restaurant official site
The Modern,https://www.themodernnyc.com/,,,,resolved,"Home | The Modern in New York, NY","The Modern is a two Michelin-starred, contemporary American restaurant at the Museum of Modern Art, featuring three separate experiences.",The Modern NYC restaurant official site
Tuome,https://www.tuomenyc.com/,,,,resolved,tuome,"New American Restaurant - East Village, New York. ... tuome.jpg. Home. Tuome. 536 E 5th St,. New York, NY, 10009,. United States. (646) 833-7811 info@tuomenyc.com.",Tuome NYC restaurant official site
Via Carota,https://www.viacarota.com/,,,,resolved,Via Carota,"Via Carota is the West Village, NYC, gastroteca where cherished downtown chefs Jody Williams and Rita Sodi cook deeply appealing Italian food.",Via Carota NYC restaurant official site
4 Charles Prime Rib,https://www.nycprimerib.com/,,,,resolved,4 Charles Prime Rib — New York,"New York's historic West Village brownstone for steak, seafood & prime rib. Classic cuts, strong drinks and an exceptional wine list.",4 Charles Prime Rib NYC restaurant official site
Pylos,https://pylosrestaurant.com/,,,,resolved,Pylos Restaurant – Rustic Greek Home Cooking,"Address: 128 East 7th Street, NYC, New York 10009. Telephone: (1) 212 473.0220. Email: info@pylosrestaurant.com. © Copyright 2018. Pylos Restaurant. Order ...",Pylos NYC restaurant official site
MáLà Project,https://www.malaproject.com/,,,,resolved,MÁLÀ PROJECT,MáLà Project is a Chinese restaurant founded by four friends with a mission to deliver joy through the flavors of Sichuan cuisine.,MáLà Project NYC restaurant official site
Kanoyama,https://kanoyama.com/,,,,resolved,Kanoyama Restaurant,Kanoyama Restaurant is michelin starred New York Sushi Restaurant that provides excellent quality Sushi and Japaneese entrees.,Kanoyama NYC restaurant official site
Bar Miller,https://www.barmiller.com/,,,,resolved,Bar Miller,Reservations now available on OPENTABLE! Skip to Content. Home · About · Eat · Drink · Gift Cards · FAQs · Contact Us · Bar Miller. Open Menu Close Menu.,Bar Miller NYC restaurant official site
Eulalie,https://eulalie.wheree.com/menu,,,,resolved,Eulalie Menu (Updated 2026) - Wheree,"Eulalie, located in the heart of New York City at 239 W Broadway, offers a refined yet unpretentious dining experience that captivates food ...",Eulalie NYC restaurant official site
Gui,https://guinyc.com/,,,,resolved,Gui Steakhouse | Wood-Fired Steaks & Fine Dining Near ...,"Discover Gui Steakhouse, where premium steaks meet innovative Korean cuisine. Enjoy a unique dining experience that blends tradition with modern flavors, ...",Gui NYC restaurant official site
bōm,http://www.bom-nyc.com/,,,,resolved,bōm,Upscale Korean destination for elevated tasting menus served at a chef's counter.,bōm NYC restaurant official site
Noz 17,https://www.nozmarket.com/,,,,resolved,Noz Market,"Noz Market first opened its doors in October 2020, providing New Yorkers with a resource for fast-paced, high-end seafood, Japanese accoutrements, and delicious ...",Noz 17 NYC restaurant official site
Torrisi,https://torrisinyc.com/,,,,resolved,"Torrisi | Italian Restaurant in New York, NY",Torrisi Bar & Restaurant is the spectacular new Italian restaurant from the creative forces at Major Food Group.,Torrisi NYC restaurant official site
Casa Mono,https://www.casamononyc.com/,,,,resolved,"Casa Mono | Spanish Restaurant in New York City, NY","Casa Mono and It's Sister Restaurant, Bar Jamón are located next to each other on Irving Place and 17th Street, just east of Union Square.",Casa Mono NYC restaurant official site
Atomix,https://atomix.weeblyte.com/,,,,resolved,ATOMIX - Korean restaurant in City Of New York - Website,ATOMIX stands as a premier dining destination in the heart of New York City ... This is not the official website. Content is updated by the community ...,Atomix NYC restaurant official site
Ernesto's,https://www.ernestosnyc.com/,,,,resolved,Ernesto's NYC,Ernesto's. A Basque Taverna located at 259 East Broadway New York City 10002.,Ernesto's NYC restaurant official site
Le Gigot,https://www.legigotrestaurant.com/,,,,resolved,"Le Gigot | West village, NYC | 212-627-3737","This is the site navigation. HOME, HISTORY, MENUS, REVIEWS, LOCATION,. Exterior photograph of Le Gigot restaurant. Links to our Facebook page and Email.",Le Gigot NYC restaurant official site
Kyma,https://kymarestaurants.com/,,,,resolved,Kyma NYC | Upscale Greek & Mediterranean Seafood ...,"An upscale Greek seafood restaurant in NYC serving whole grilled fish, refined Mediterranean cuisine, craft cocktails, and a vibrant dinner-party vibe.",Kyma NYC restaurant official site
Atoboy,https://www.atoboynyc.com/,,,,resolved,Atoboy,ATOBOY is a restaurant which builds on innovative Korean-inspired cuisine using New York City as inspiration and stage.,Atoboy NYC restaurant official site
Sobaya,https://www.sobaya.us/,,,,resolved,Sobaya NYC | Authentic Japanese Soba & Udon in East Village,"Visit Sobaya NYC in the East Village for authentic Japanese dining. Our Michelin Bib Gourmand restaurant serves fresh, handmade soba and udon daily.",Sobaya NYC restaurant official site
Kosaka,https://www.kosakanyc.com/,,,,resolved,Kosaka,"KOSAKA is located on a charming Greenwich Village street, bringing the serenity and allure of a Tokyo sushi restaurant to Manhattan.",Kosaka NYC restaurant official site
Octo,https://www.octo.nyc/,,,,resolved,"OCTO | Korean-Chinese restaurant in New York, NY",OCTO is a Korean-Chinese restaurant located in the heart of New York City. Visit Us Our Food We offer a wide variety using the best ingredients.,Octo NYC restaurant official site
Kebab aur Sharab,https://kebabaursharab.com/,,,,resolved,"Kebab Aur Sharab - Manhattan, Upper West Side, NYC",Home · About · Menu · Gallery · Press · Contact · Reserve. From the same family as. POWERED BY ONEBRANDING.,Kebab aur Sharab NYC restaurant official site
Lord's,https://www.lordsenglish.com/,,,,resolved,Lord's Restaurant,An English bistro in New York City serving nose-to-tail cooking alongside an extensive wine list.,Lord's NYC restaurant official site
Jupiter,https://www.jupiterrestaurant.nyc/,,,,resolved,Jupiter Restaurant,"Rinkside at Rockefeller Center 20 W. 50th Street New York, NY 10020 info@jupiterrestaurant.nyc (212) 207-0060. Get the latest news & menu additions.",Jupiter NYC restaurant official site
Nudibranch,https://nudibranchnyc.com/,,,,resolved,nudibranch,Nudibranch is a New York City restaurant offering a shareable dining experience. Focusing on New American cuisine alongside wines and cocktails in an ...,Nudibranch NYC restaurant official site
HAGS,https://hagsnyc.com/,,,,resolved,HAGS NYC,"HAGS is a tiny restaurant in the East Village neighborhood of NYC, by Queer people for all people. Are you able to accommodate allergies? Most likely the ...",HAGS NYC restaurant official site
Ci Siamo,https://ci-siamo.weeblyte.com/,,,,resolved,Ci Siamo - Restaurant in City Of New York - Website,"Ci Siamo stands out as a premier dining destination in the Hudson Yards area, renowned for its vibrant atmosphere and exceptional culinary offerings.",Ci Siamo NYC restaurant official site
Chambers,https://www.chambers.nyc/,,,,resolved,Chambers.nyc,"gift cards · Back · eat · drink · wine list · after · 94 Chambers Street | New York, NY 10007. Please ensure Javascript is enabled for purposes of website ...",Chambers NYC restaurant official site
Cha Kee,https://chakee.restaurants-us.com/,,,,resolved,"Cha Kee: Authentic Cantonese Cuisine on Mott St, NYC","Cha Kee, located at 43 Mott St, New York, NY, offers an authentic Cantonese dining experience with a diverse menu, delicious dishes, and a welcoming atmosphere ...",Cha Kee NYC restaurant official site
63 Clinton,https://www.63clinton.com/,,,,resolved,63 Clinton,"A new restaurant serving modern, seasonal American fare with global influences located at 63 Clinton Street on the Lower East Side.",63 Clinton NYC restaurant official site
Nyonya,https://nyonya.res-menu.net/,,,,resolved,Nyonya: Authentic Malaysian-Chinese Cuisine in the Heart of ...,"Located on 199 Grand St in New York, NY, Nyonya offers a wide range of Malaysian - Chinese dishes including vegan options and seafood soups.",Nyonya NYC restaurant official site
Noreetuh,https://www.noreetuh.com/,,,,resolved,noreetuh,noreetuh is a modern Hawaiian restaurant located at 128 First Avenue in the East Village of New York City by Chef/Co-Owner Chung Chow.,Noreetuh NYC restaurant official site
Eleven Madison Park,https://www.elevenmadisonpark.com/,,,,resolved,Eleven Madison Park,"Eleven Madison Park is a fine dining restaurant in the heart of New York City, owned and operated by Chef Daniel Humm. Overlooking Madison Square Park, ...",Eleven Madison Park NYC restaurant official site
Bangkok Supper Club,https://www.bangkoksupperclubnyc.com/,,,,resolved,Bangkok Supper Club,Home · Inventive Thai cuisine · MENU · Private Events · Email Signup · Reservations.,Bangkok Supper Club NYC restaurant official site
Coqodaq,https://coqodaq.weeblyte.com/,,,,resolved,COQODAQ - Chicken restaurant in City Of New York - Website,"Address: 12 E 22nd St, New York, NY 10010, United States Phone: +1 646 490 5099. Social Media. Suggest an Edit. This is not the official website. Content is ...",Coqodaq NYC restaurant official site
Nōksu,https://noksunyc.com/,,,,resolved,Nōksu | NYC,"Noksu, 2024 & 2025 Michelin star recipient, is a 15-seat tasting counter located within the 32nd street entrance of Herald Square. Noksu offers a 10 course ...",Nōksu NYC restaurant official site
Potluck Club,https://thepotluckclubny.com/,,,,resolved,POTLUCK CLUB,Michelin Bib Gourmand Chinese Restaurant in Chinatown New York City.,Potluck Club NYC restaurant official site
